touchstone_iu,disease,modelling_group,is_focal,model_version,comment
201210gavi-201303gavi,HPV,Harvard-Sweet,TRUE,pre_vimc,
201210gavi-201303gavi,HepB,Li,TRUE,pre_vimc,
201210gavi-201303gavi,Hib,JHU-Tam,TRUE,pre_vimc,
201210gavi-201303gavi,JE,Suraratdecha,TRUE,pre_vimc,
201210gavi-201303gavi,Measles,PSU-Ferrari,TRUE,pre_vimc,
201210gavi-201303gavi,MenA,Suraratdecha,TRUE,pre_vimc,
201210gavi-201303gavi,PCV,JHU-Tam,TRUE,pre_vimc,
201210gavi-201303gavi,Rota,JHU-Tam,TRUE,pre_vimc,
201210gavi-201303gavi,Rubella,PHE-Vynnycky,TRUE,pre_vimc,
201210gavi-201303gavi,YF,unknown,TRUE,pre_vimc,
201310gavi,HPV,LSHTM-Jit,FALSE,pre_vimc,
201310gavi,HPV,Harvard-Sweet,TRUE,pre_vimc,
201310gavi,HepB,Li,TRUE,pre_vimc,
201310gavi,Hib,LSHTM-Clark,FALSE,pre_vimc,
201310gavi,Hib,JHU-Tam,TRUE,pre_vimc,
201310gavi,JE,Suraratdecha,TRUE,pre_vimc,
201310gavi,Measles,PSU-Ferrari,TRUE,pre_vimc,
201310gavi,MenA,Suraratdecha,TRUE,pre_vimc,
201310gavi,PCV,LSHTM-Clark,FALSE,pre_vimc,
201310gavi,PCV,JHU-Tam,TRUE,pre_vimc,
201310gavi,Rota,LSHTM-Clark,FALSE,pre_vimc,
201310gavi,Rota,JHU-Tam,TRUE,pre_vimc,
201310gavi,Rubella,PHE-Vynnycky,TRUE,pre_vimc,
201310gavi,YF,IC-Garske,TRUE,pre_vimc,
201510gavi,HPV,LSHTM-Jit,FALSE,pre_vimc,
201510gavi,HPV,Harvard-Sweet,TRUE,pre_vimc,
201510gavi,HepB,LSHTM-Edmunds,FALSE,pre_vimc,
201510gavi,HepB,Li,TRUE,pre_vimc,
201510gavi,Hib,LSHTM-Clark,FALSE,pre_vimc,
201510gavi,Hib,JHU-Tam,TRUE,pre_vimc,
201510gavi,JE,Suraratdecha,TRUE,pre_vimc,
201510gavi,Measles,LSHTM-Jit,FALSE,pre_vimc,
201510gavi,Measles,PSU-Ferrari,TRUE,pre_vimc,
201510gavi,MenA,KPW-Jackson,FALSE,pre_vimc,
201510gavi,MenA,Suraratdecha,TRUE,pre_vimc,
201510gavi,PCV,LSHTM-Clark,FALSE,pre_vimc,
201510gavi,PCV,JHU-Tam,TRUE,pre_vimc,
201510gavi,Rota,LSHTM-Clark,FALSE,pre_vimc,
201510gavi,Rota,JHU-Tam,TRUE,pre_vimc,
201510gavi,Rubella,PHE-Vynnycky,TRUE,pre_vimc,
201510gavi,YF,IC-Garske,TRUE,pre_vimc,
201710gavi,HPV,LSHTM-Jit,FALSE,201710gavi,
201710gavi,HPV,Harvard-Sweet,TRUE,201710gavi,
201710gavi,HepB,CDA-Razavi,FALSE,201710gavi,
201710gavi,HepB,IC-Hallett,FALSE,201710gavi,
201710gavi,HepB,Li,TRUE,201710gavi,
201710gavi,Hib,LSHTM-Clark,FALSE,201710gavi,
201710gavi,Hib,JHU-Tam,TRUE,201710gavi,
201710gavi,JE,UND-Moore,FALSE,201710gavi,
201710gavi,JE,OUCRU-Clapham,TRUE,201710gavi,
201710gavi,Measles,LSHTM-Jit,FALSE,201710gavi,
201710gavi,Measles,PSU-Ferrari,TRUE,201710gavi,
201710gavi,MenA,Cambridge-Trotter,FALSE,201710gavi,
201710gavi,MenA,KPW-Jackson,TRUE,201710gavi,
201710gavi,PCV,LSHTM-Clark,FALSE,201710gavi,
201710gavi,PCV,JHU-Tam,TRUE,201710gavi,
201710gavi,Rota,LSHTM-Clark,FALSE,201710gavi,
201710gavi,Rota,JHU-Tam,TRUE,201710gavi,
201710gavi,Rubella,JHU-Lessler,FALSE,201710gavi,
201710gavi,Rubella,PHE-Vynnycky,TRUE,201710gavi,
201710gavi,YF,IC-Garske,TRUE,201710gavi,
201910gavi,Cholera,IVI-Kim,FALSE,201910gavi,
201910gavi,Cholera,JHU-Lee,TRUE,201910gavi,
201910gavi,HPV,LSHTM-Jit,FALSE,201910gavi,
201910gavi,HPV,Harvard-Sweet,TRUE,201910gavi,
201910gavi,HepB,CDA-Razavi,FALSE,201910gavi,
201910gavi,HepB,IC-Hallett,FALSE,201910gavi,
201910gavi,HepB,Li,TRUE,201910gavi,
201910gavi,Hib,LSHTM-Clark,FALSE,201910gavi,
201910gavi,Hib,JHU-Tam,TRUE,201910gavi,
201910gavi,JE,UND-Moore,FALSE,201910gavi,
201910gavi,JE,OUCRU-Clapham,TRUE,201910gavi,
201910gavi,Measles,LSHTM-Jit,FALSE,201910gavi,
201910gavi,Measles,PSU-Ferrari,TRUE,201910gavi,
201910gavi,MenA,Cambridge-Trotter,FALSE,201910gavi,
201910gavi,MenA,KPW-Jackson,TRUE,201910gavi,
201910gavi,PCV,LSHTM-Clark,FALSE,201910gavi,
201910gavi,PCV,JHU-Tam,TRUE,201910gavi,
201910gavi,Rota,Emory-Lopman,FALSE,201910gavi,
201910gavi,Rota,LSHTM-Clark,FALSE,201910gavi,
201910gavi,Rota,JHU-Tam,TRUE,201910gavi,
201910gavi,Rubella,JHU-Lessler,FALSE,201910gavi,
201910gavi,Rubella,PHE-Vynnycky,TRUE,201910gavi,
201910gavi,Typhoid,Yale-Pitzer,FALSE,201910gavi,
201910gavi,Typhoid,IVI-Kim,TRUE,201910gavi,
201910gavi,YF,UND-Perkins,FALSE,201910gavi,
201910gavi,YF,IC-Garske,TRUE,201910gavi,
202110gavi,Cholera,IVI-Kim,FALSE,202110gavi,
202110gavi,Cholera,JHU-Lee,TRUE,202110gavi,
202110gavi,HPV,LSHTM-Jit,FALSE,202110gavi,
202110gavi,HPV,Harvard-Sweet,TRUE,202110gavi,
202110gavi,HepB,CDA-Razavi,FALSE,201910gavi,
202110gavi,HepB,IC-Hallett,FALSE,202110gavi,
202110gavi,HepB,Li,TRUE,202110gavi,
202110gavi,Hib,LSHTM-Clark,FALSE,202110gavi,
202110gavi,Hib,JHU-Tam,TRUE,202110gavi,
202110gavi,JE,UND-Moore,FALSE,202110gavi,
202110gavi,JE,OUCRU-Clapham,TRUE,202110gavi,
202110gavi,Measles,LSHTM-Jit,FALSE,202110gavi,
202110gavi,Measles,PSU-Ferrari,TRUE,202110gavi,
202110gavi,MenA,Cambridge-Trotter,FALSE,202110gavi,
202110gavi,MenA,KPW-Jackson,TRUE,202110gavi,
202110gavi,PCV,NUS-Chen,FALSE,202110gavi,
202110gavi,PCV,JHU-Tam,TRUE,202110gavi,
202110gavi,Rota,Emory-Lopman,FALSE,202110gavi,
202110gavi,Rota,LSHTM-Clark,FALSE,202110gavi,
202110gavi,Rota,JHU-Tam,TRUE,202110gavi,
202110gavi,Rubella,JHU-Lessler,FALSE,202110gavi,
202110gavi,Rubella,PHE-Vynnycky,TRUE,202110gavi,
202110gavi,Typhoid,Yale-Pitzer,FALSE,202110gavi,
202110gavi,Typhoid,IVI-Kim,TRUE,202110gavi,
202110gavi,YF,UND-Perkins,FALSE,202110gavi,
202110gavi,YF,IC-Garske,TRUE,202110gavi,
202310gavi,COVID,LSHTM-Liu,FALSE,202310gavi,paper4
202310gavi,COVID,IC-Ghani,TRUE,202310gavi,paper4
202310gavi,Cholera,IVI-Kim,FALSE,202310gavi,paper4
202310gavi,Cholera,JHU-Lee,TRUE,202310gavi,paper4
202310gavi,HPV,LSHTM-Jit,FALSE,202310gavi,paper4
202310gavi,HPV,Harvard-Sweet,TRUE,202310gavi,paper4
202310gavi,HepB,CDA-Razavi,FALSE,201910gavi,
202310gavi,HepB,Burnet-Scott,FALSE,202310gavi,paper4
202310gavi,HepB,IC-Hallett,FALSE,202310gavi,paper4
202310gavi,HepB,Li,TRUE,202310gavi,paper4
202310gavi,Measles,LSHTM-Jit,FALSE,202310gavi,paper4
202310gavi,Measles,PSU-Ferrari,TRUE,202310gavi,paper4
202310gavi,MenA,Cambridge-Trotter,TRUE,202310gavi,paper4
202310gavi,Rubella,JHU-Lessler,FALSE,202310gavi,paper4
202310gavi,Rubella,PHE-Vynnycky,TRUE,202310gavi,paper4
202310gavi,Typhoid,Yale-Pitzer,FALSE,202310gavi,paper4
202310gavi,Typhoid,IVI-Kim,TRUE,202310gavi,paper4
202310gavi,YF,UND-Perkins,FALSE,202310gavi,paper4
202310gavi,YF,IC-Garske,TRUE,202310gavi,paper4
202310gavi,Malaria,IC-Okell,FALSE,202409malaria,paper4
202310gavi,Malaria,TKI-Penny,FALSE,202409malaria,paper4
202310gavi,Malaria,UAC-Glele_Kakai,TRUE,202409malaria,paper4
202310gavi,Hib,LSHTM-Clark,FALSE,202110gavi,paper4
202310gavi,Hib,JHU-Tam,TRUE,202110gavi,paper4
202310gavi,PCV,NUS-Chen,FALSE,202110gavi,paper4
202310gavi,PCV,JHU-Tam,TRUE,202110gavi,paper4
202310gavi,Rota,Emory-Lopman,FALSE,202110gavi,paper4
202310gavi,Rota,LSHTM-Clark,FALSE,202110gavi,paper4
202310gavi,Rota,JHU-Tam,TRUE,202110gavi,paper4
202310gavi,JE,UND-Moore,FALSE,202110gavi,paper4
202310gavi,JE,OUCRU-Clapham,TRUE,202110gavi,paper4
