scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage,gender,proportion_risk
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,AFG,Afghanistan,2025,1,100,default age groups,43090677.5,0.561536457085638929243,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,AFG,Afghanistan,2028,1,100,default age groups,46535039,0.5615364570856390402653,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,AFG,Afghanistan,2031,1,100,default age groups,50028077,0.561536457085638929243,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,AFG,Afghanistan,2034,1,100,default age groups,53550586,0.561536457085638929243,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,AFG,Afghanistan,2037,1,100,default age groups,57077641.5,0.561536457085638929243,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,AFG,Afghanistan,2040,1,100,default age groups,60633538.5,0.561536457085638929243,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,AGO,Angola,2025,1,100,default age groups,37579274.5,0.0250834782014924019544,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,AGO,Angola,2028,1,100,default age groups,41034171,0.0250834782014924054239,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,AGO,Angola,2031,1,100,default age groups,44654622.5,0.0250834782014924019544,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,AGO,Angola,2034,1,100,default age groups,48434834.5,0.0250834782014924019544,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,AGO,Angola,2037,1,100,default age groups,52357786.5,0.0250834782014924019544,both,1
