disease,vaccine,activity_type,focal,baseline,scenario_type,method
COVID,COVID,all,covid-primary-booster-bluesky,covid-no-vaccination,bluesky,alternative
COVID,COVID,campaign,covid-primary-bluesky,covid-no-vaccination,bluesky,standard
COVID,COVID,routine,covid-primary-booster-bluesky,covid-primary-bluesky,bluesky,standard
HepB,HepB,routine,hepb-hepb3-bluesky,hepb-no-vaccination,bluesky,standard
HepB,HepB_BD,routine,hepb-hepb3-bd-bluesky,hepb-hepb3-bluesky,bluesky,standard
HPV,HPV,all,hpv-campaign-routine-bluesky,hpv-no-vaccination,bluesky,alternative
HPV,HPV,campaign,hpv-campaign-bluesky,hpv-no-vaccination,bluesky,standard
HPV,HPV,routine,hpv-campaign-routine-bluesky,hpv-campaign-bluesky,bluesky,standard
Measles,Measles,all,measles-mcv1-mcv2-campaign-bluesky,measles-no-vaccination,bluesky,alternative
Measles,MCV1,routine,measles-mcv1-bluesky,measles-no-vaccination,bluesky,standard
Measles,MCV2,routine,measles-mcv1-mcv2-bluesky,measles-mcv1-bluesky,bluesky,standard
Measles,Measles,campaign,measles-mcv1-mcv2-campaign-bluesky,measles-mcv1-mcv2-bluesky,bluesky,standard
Rubella,Rubella,all,rubella-campaign-rcv1-rcv2-bluesky,rubella-no-vaccination,bluesky,alternative
Rubella,RCV2,routine,rubella-campaign-rcv1-rcv2-bluesky,rubella-campaign-rcv1-bluesky,bluesky,standard
Rubella,Rubella,campaign,rubella-campaign-bluesky,rubella-no-vaccination,bluesky,standard
Rubella,Rubella,routine,rubella-campaign-rcv1-bluesky,rubella-campaign-bluesky,bluesky,standard
Typhoid,Typhoid,all,typhoid-campaign-routine-bluesky,typhoid-no-vaccination,bluesky,alternative
Typhoid,Typhoid,campaign,typhoid-campaign-bluesky,typhoid-no-vaccination,bluesky,standard
Typhoid,Typhoid,routine,typhoid-campaign-routine-bluesky,typhoid-campaign-bluesky,bluesky,standard
YF,YF,all,yf-routine-campaign-bluesky,yf-no-vaccination,bluesky,alternative
YF,YF,campaign,yf-routine-campaign-bluesky,yf-routine-bluesky,bluesky,standard
YF,YF,routine,yf-routine-bluesky,yf-no-vaccination,bluesky,standard
MenA,MenCWYX,all,mena-campaign-routine-bluesky,mena-no-vaccination,bluesky,alternative
MenA,MenCWYX,campaign,mena-campaign-bluesky,mena-no-vaccination,bluesky,standard
MenA,MenCWYX,routine,mena-campaign-routine-bluesky,mena-campaign-bluesky,bluesky,standard
MenA,MenA,all,mena-campaign-routine-bluesky,mena-no-vaccination,bluesky,alternative
MenA,MenA,campaign,mena-campaign-bluesky,mena-no-vaccination,bluesky,standard
MenA,MenA,routine,mena-campaign-routine-bluesky,mena-campaign-bluesky,bluesky,standard
HepB,HepB,all,hepb-hepb3-bd-bluesky,hepb-no-vaccination,bluesky,alternative
COVID,COVID,all,covid-primary-booster-bluesky_severe,covid-no-vaccination_severe,bluesky_severe,alternative
COVID,COVID,campaign,covid-primary-bluesky_severe,covid-no-vaccination_severe,bluesky_severe,standard
COVID,COVID,routine,covid-primary-booster-bluesky_severe,covid-primary-bluesky_severe,bluesky_severe,standard
Cholera,Cholera,all,cholera-ocv1-ocv2-default,cholera-no-vaccination,default,alternative
Cholera,Cholera,campaign,cholera-ocv1-ocv2-default,cholera-no-vaccination,default,standard
Cholera,OCV1,campaign,cholera-ocv1-default,cholera-no-vaccination,default,standard
Cholera,OCV2,campaign,cholera-ocv1-ocv2-default,cholera-ocv1-default,default,standard
COVID,COVID,all,covid-primary-booster-default,covid-no-vaccination,default,alternative
COVID,COVID,campaign,covid-primary-default,covid-no-vaccination,default,standard
COVID,COVID,routine,covid-primary-booster-default,covid-primary-default,default,standard
HepB,HepB,routine,hepb-hepb3-default,hepb-no-vaccination,default,standard
HepB,HepB_BD,routine,hepb-hepb3-bd-default,hepb-hepb3-default,default,standard
HPV,HPV,all,hpv-campaign-routine-default,hpv-no-vaccination,default,alternative
HPV,HPV,campaign,hpv-campaign-default,hpv-no-vaccination,default,standard
HPV,HPV,routine,hpv-campaign-routine-default,hpv-campaign-default,default,standard
Measles,Measles,all,measles-mcv1-mcv2-campaign-default_update,measles-no-vaccination,default_update,alternative
Measles,MCV1,routine,measles-mcv1-default,measles-no-vaccination,default,standard
Measles,MCV2,routine,measles-mcv1-mcv2-default,measles-mcv1-default,default,standard
Measles,Measles,campaign,measles-mcv1-mcv2-campaign-default_update,measles-mcv1-mcv2-default,default_update,standard
Rubella,Rubella,all,rubella-campaign-rcv1-rcv2-default,rubella-no-vaccination,default,alternative
Rubella,RCV2,routine,rubella-campaign-rcv1-rcv2-default,rubella-campaign-rcv1-default,default,standard
Rubella,Rubella,campaign,rubella-campaign-default,rubella-no-vaccination,default,standard
Rubella,Rubella,routine,rubella-campaign-rcv1-default,rubella-campaign-default,default,standard
Typhoid,Typhoid,all,typhoid-campaign-routine-default,typhoid-no-vaccination,default,alternative
Typhoid,Typhoid,campaign,typhoid-campaign-default,typhoid-no-vaccination,default,standard
Typhoid,Typhoid,routine,typhoid-campaign-routine-default,typhoid-campaign-default,default,standard
YF,YF,all,yf-routine-campaign-default,yf-no-vaccination,default,alternative
YF,YF,campaign,yf-routine-campaign-default,yf-routine-default,default,standard
YF,YF,routine,yf-routine-default,yf-no-vaccination,default,standard
MenA,MenCWYX,all,mena-campaign-routine-default,mena-no-vaccination,default,alternative
MenA,MenCWYX,campaign,mena-campaign-default,mena-no-vaccination,default,standard
MenA,MenCWYX,routine,mena-campaign-routine-default,mena-campaign-default,default,standard
Measles,Measles_under5s,campaign,measles-mcv1-mcv2-campaign-default_under5sia,measles-mcv1-mcv2-default,default_under5sia,standard
Measles,Measles_>=5s,campaign,measles-mcv1-mcv2-campaign-default_update,measles-mcv1-mcv2-campaign-default_under5sia,default_update,standard
MenA,MenA,all,mena-campaign-routine-default,mena-no-vaccination,default,alternative
MenA,MenA,campaign,mena-campaign-default,mena-no-vaccination,default,standard
MenA,MenA,routine,mena-campaign-routine-default,mena-campaign-default,default,standard
HepB,HepB,all,hepb-hepb3-bd-default,hepb-no-vaccination,default,alternative
COVID,COVID,all,covid-primary-booster-default_severe,covid-no-vaccination_severe,default_severe,alternative
COVID,COVID,campaign,covid-primary-default_severe,covid-no-vaccination_severe,default_severe,standard
COVID,COVID,routine,covid-primary-booster-default_severe,covid-primary-default_severe,default_severe,standard
HPV,HPV,all,hpv-campaign-routine-default_transition_hpv_1d,hpv-no-vaccination,default_transition_hpv_1d,alternative
HPV,HPV,campaign,hpv-campaign-default_transition_hpv_1d,hpv-no-vaccination,default_transition_hpv_1d,standard
HPV,HPV,routine,hpv-campaign-routine-default_transition_hpv_1d,hpv-campaign-default_transition_hpv_1d,default_transition_hpv_1d,standard
HepB,HepB,routine,hepb-hepb3-ia2030,hepb-no-vaccination,ia2030,standard
HepB,HepB_BD,routine,hepb-hepb3-bd-ia2030,hepb-hepb3-ia2030,ia2030,standard
HPV,HPV,all,hpv-campaign-routine-ia2030,hpv-no-vaccination,ia2030,alternative
HPV,HPV,campaign,hpv-campaign-ia2030,hpv-no-vaccination,ia2030,standard
HPV,HPV,routine,hpv-campaign-routine-ia2030,hpv-campaign-ia2030,ia2030,standard
Measles,Measles,all,measles-mcv1-mcv2-campaign-ia2030,measles-no-vaccination,ia2030,alternative
Measles,MCV1,routine,measles-mcv1-ia2030,measles-no-vaccination,ia2030,standard
Measles,MCV2,routine,measles-mcv1-mcv2-ia2030,measles-mcv1-ia2030,ia2030,standard
Measles,Measles,campaign,measles-mcv1-mcv2-campaign-ia2030,measles-mcv1-mcv2-ia2030,ia2030,standard
Rubella,Rubella,all,rubella-campaign-rcv1-rcv2-ia2030,rubella-no-vaccination,ia2030,alternative
Rubella,RCV2,routine,rubella-campaign-rcv1-rcv2-ia2030,rubella-campaign-rcv1-ia2030,ia2030,standard
Rubella,Rubella,campaign,rubella-campaign-ia2030,rubella-no-vaccination,ia2030,standard
Rubella,Rubella,routine,rubella-campaign-rcv1-ia2030,rubella-campaign-ia2030,ia2030,standard
YF,YF,all,yf-routine-campaign-ia2030,yf-no-vaccination,ia2030,alternative
YF,YF,campaign,yf-routine-campaign-ia2030,yf-routine-ia2030,ia2030,standard
YF,YF,routine,yf-routine-ia2030,yf-no-vaccination,ia2030,standard
MenA,MenCWYX,all,mena-campaign-routine-ia2030,mena-no-vaccination,ia2030,alternative
MenA,MenCWYX,campaign,mena-campaign-ia2030,mena-no-vaccination,ia2030,standard
MenA,MenCWYX,routine,mena-campaign-routine-ia2030,mena-campaign-ia2030,ia2030,standard
MenA,MenA,all,mena-campaign-routine-ia2030,mena-no-vaccination,ia2030,alternative
MenA,MenA,campaign,mena-campaign-ia2030,mena-no-vaccination,ia2030,standard
MenA,MenA,routine,mena-campaign-routine-ia2030,mena-campaign-ia2030,ia2030,standard
HepB,HepB,all,hepb-hepb3-bd-ia2030,hepb-no-vaccination,ia2030,alternative
