"disease","deaths_formatted","dalys_formatted"
"COVID-19","0.15 (0.13, 0.18)","4.83 (4.39, 5.52)"
"Cholera","0.22 (0.14, 0.84)","6.72 (5.07, 17.30)"
"HPV","15.36 (14.38, 19.69)","718.20 (693.07, 792.91)"
"HepB","4.53 (4.14, 4.97)","119.97 (110.60, 130.21)"
"Hib","2.09 (1.86, 2.34)","139.87 (125.11, 156.25)"
"JE","0.18 (0.10, 0.30)","71.53 (49.20, 95.24)"
"Malaria","2.70 (-1.94, 7.33)","212.56 (-81.30, 496.92)"
"Measles","5.89 (4.65, 6.92)","394.51 (311.79, 462.15)"
"Meningitis","0.66 (0.49, 0.84)","44.02 (32.92, 55.61)"
"PCV","1.33 (0.91, 1.75)","90.51 (66.20, 116.43)"
"Rota","0.89 (0.65, 1.13)","48.42 (34.08, 62.62)"
"Rubella","0.21 (0.10, 0.44)","16.44 (10.47, 27.58)"
"Typhoid","1.06 (0.32, 2.39)","37.20 (11.95, 80.75)"
"YF","3.01 (0.89, 6.76)","115.62 (34.07, 260.15)"
